Messier number,NGC/IC number,Common name,Image,Image small,Object type,Distance (kly),Constellation,Apparent magnitude,Apparent dimensions,Right ascension,Declination
M22,NGC 6656,Great Sagittarius Cluster,static/images/m22.jpg,static/images/m22_small.jpg,Globular cluster,9.6–11.6,Sagittarius,5.1,32',18h 36m 23.94s,−23° 54′ 17.1″
M23,NGC 6494,,static/images/m23.jpg,static/images/m23_small.jpg,Open cluster,2.15,Sagittarius,5.5,35',17h 56.8m,−19° 01′
M24,IC 4715,Small Sagittarius Star Cloud,static/images/m24.jpg,static/images/m24_small.jpg,Milky Way star cloud,~10,Sagittarius,2.5,2°x1°,18h 17m,−18° 33′
M25,IC 4725,,static/images/m25.jpg,static/images/m25_small.jpg,Open cluster,2.0,Sagittarius,4.6,36',18h 31.6m,−19° 15′
M26,NGC 6694,,static/images/m26.jpg,static/images/m26_small.jpg,Open cluster,5.0,Scutum,8.0,14',18h 45.2m,−09° 24′
M27,NGC 6853,Dumbbell Nebula,static/images/m27.jpg,static/images/m27_small.jpg,Planetary nebula,1.148–1.52,Vulpecula,7.4,8.0' × 5.6',19h 59m 36.340s,+22° 43′ 16.09″
M28,NGC 6626,,static/images/m28.jpg,static/images/m28_small.jpg,Globular cluster,17.9,Sagittarius,6.8,11.2',18h 24m 32.89s,−24° 52′ 11.4″
M29,NGC 6913,Cooling Tower Cluster,static/images/m29.jpg,static/images/m29_small.jpg,Open cluster,7.2,Cygnus,7.1,7',20h 23m 56s,+38° 31′ 24″
M30,NGC 7099,Jellyfish Cluster,static/images/m30.jpg,static/images/m30_small.jpg,Globular cluster,27.8–31,Capricornus,7.2,12',21h 40m 22.12s,−23° 10′ 47.5″
M31,NGC 224,Andromeda Galaxy,static/images/m31.jpg,static/images/m31_small.jpg,Spiral galaxy,"2,430–2,650",Andromeda,3.4,3.167° × 1°,00h 42m 44.3s,+41° 16′ 09″
M32,NGC 221,Andromeda Satellite #1,static/images/m32.jpg,static/images/m32_small.jpg,Dwarf elliptical galaxy,"2,410–2,570",Andromeda,8.1,8.7' × 6.5',00h 42m 41.8s,+40° 51′ 55″
M33,NGC 598,Triangulum/Pinwheel Galaxy,static/images/m33.jpg,static/images/m33_small.jpg,Spiral galaxy,"2,380–3,070",Triangulum,5.7,70.8' x 41.7',01h 33m 50.02s,+30° 39′ 36.7″
M34,NGC 1039,Spiral Cluster,static/images/m34.jpg,static/images/m34_small.jpg,Open cluster,1.5,Perseus,5.5,35',02h 42.1m,+42° 46′
M35,NGC 2168,Shoe-Buckle Cluster,static/images/m35.jpg,static/images/m35_small.jpg,Open cluster,2.8,Gemini,5.3,28',06h 09.1m,+24° 21′
M36,NGC 1960,Pinwheel Cluster,static/images/m36.jpg,static/images/m36_small.jpg,Open cluster,4.1,Auriga,6.3,12',05h 36m 12s,+34° 08′ 04″
M37,NGC 2099,Salt and Pepper Cluster,static/images/m37.jpg,static/images/m37_small.jpg,Open cluster,4.511,Auriga,6.2,24',05h 52m 18s,+32° 33′ 02″
M38,NGC 1912,Starfish Cluster,static/images/m38.jpg,static/images/m38_small.jpg,Open cluster,4.2,Auriga,7.4,21',05h 28m 42s,+35° 51′ 18″
M39,NGC 7092,,static/images/m39.jpg,static/images/m39_small.jpg,Open cluster,0.8244,Cygnus,4.6,29',21h 31m 42s,+48° 26′ 00″
M40,,Winnecke 4,static/images/m40.jpg,static/images/m40_small.jpg,Optical Double,0.51,Ursa Major,8.4,51.7″,12h 22m 12.5s,+58° 04′ 59″
M41,NGC 2287,Little Beehive Cluster,static/images/m41.jpg,static/images/m41_small.jpg,Open cluster,2.3,Canis Major,4.5,38',06h 46.0m,−20° 46′
M42,NGC 1976,Great Orion Nebula,static/images/m42.jpg,static/images/m42_small.jpg,H II region nebula,1.324–1.364,Orion,4.0,65' x 60',05h 35m 17.3s,−05° 23′ 28″
M43,NGC 1982,''De Mairan's Nebula'',static/images/m43.jpg,static/images/m43_small.jpg,H II region nebula (part of the Orion Nebula),1.6,Orion,9.0,20' x 15',05h 35.6m,−05° 16′
M44,NGC 2632,Beehive Cluster or Praesepe,static/images/m44.jpg,static/images/m44_small.jpg,Open cluster,0.577,Cancer,3.7,95',08h 40.4m,+19° 59′
M45,,"Pleiades, Seven Sisters or Subaru",static/images/m45.jpg,static/images/m45_small.jpg,Open cluster,0.39–0.46,Taurus,1.6,2°,03h 47m 24s,+24° 07′ 00″
M46,NGC 2437,,static/images/m46.jpg,static/images/m46_small.jpg,Open cluster,5.4,Puppis,6.0,22.8',07h 41.8m,−14° 49′
M47,NGC 2422,,static/images/m47.jpg,static/images/m47_small.jpg,Open cluster,1.6,Puppis,4.4,30',07h 36.6m,−14° 30′
M48,NGC 2548,,static/images/m48.jpg,static/images/m48_small.jpg,Open cluster,1.5,Hydra,5.5,30',08h 13.7m,−05° 45′
M49,NGC 4472,,static/images/m49.jpg,static/images/m49_small.jpg,Elliptical galaxy,"53,600–58,200",Virgo,8.4,10.2' × 8.3',12h 29m 46.7s,+08° 00′ 02″
M50,NGC 2323,Heart-Shaped Cluster,static/images/m50.jpg,static/images/m50_small.jpg,Open cluster,3.2,Monoceros,5.9,16',07h 03.2m,−08° 20′
M51,"NGC 5194, NGC 5195",Whirlpool Galaxy,static/images/m51.jpg,static/images/m51_small.jpg,Spiral galaxy,"19,000–27,000",Canes Venatici,8.4,11.2′ × 6.9′,13h 29m 52.7s,+47° 11′ 43″
M52,NGC 7654,Scorpion Cluster,static/images/m52.jpg,static/images/m52_small.jpg,Open cluster,5.0,Cassiopeia,7.3,13',23h 24.2m,+61° 35′
M53,NGC 5024,,static/images/m53.jpg,static/images/m53_small.jpg,Globular cluster,58,Coma Berenices,7.6,13',13h 12m 55.25s,+18° 10′ 05.4″
M54,NGC 6715,,static/images/m54.jpg,static/images/m54_small.jpg,Globular cluster,87.4,Sagittarius,7.6,12',18h 55m 03.33s,−30° 28′ 47.5″
M55,NGC 6809,Specter Cluster,static/images/m55.jpg,static/images/m55_small.jpg,Globular cluster,17.6,Sagittarius,6.3,19',19h 39m 59.71s,−30° 57′ 53.1″
M56,NGC 6779,,static/images/m56.jpg,static/images/m56_small.jpg,Globular cluster,32.9,Lyra,8.3,8.8',19h 16m 35.57s,+30° 11′ 00.5″
M57,NGC 6720,Ring Nebula,static/images/m57.jpg,static/images/m57_small.jpg,Planetary nebula,1.6–3.8,Lyra,8.8,"230"" × 230""",18h 53m 35.079s,+33° 01′ 45.03″
M58,NGC 4579,,static/images/m58.jpg,static/images/m58_small.jpg,Barred Spiral galaxy,"~63,000",Virgo,9.7,5.9' × 4.7',12h 37m 43.5s,+11° 49′ 05″
M59,NGC 4621,,static/images/m59.jpg,static/images/m59_small.jpg,Elliptical galaxy,"55,000–65,000",Virgo,9.6,5.4' × 3.7',12h 42m 02.3s,+11° 38′ 49″
